Timestamp,Team Number,Drivetrain Type,Drivetrain Width,Drivetrain Length,Robot Weight,"Shooter Type (Flywheel, etc.)",Intake Type,What do they do in endgame?,"Intaking Preference (Ground, Source, etc.)",How low is center of gravity of robot on scale of 5 (0 being wheels of bot and 5 being the very top),Typical Auton Progran,Pic of Robot,Preferred Shooting Location,Other notes
3/8/2024 11:21:16,971,West coast,32.5,27.5,125,Catapult,Over the bumper,"Can shoot, hang, trap",Ground,1,5 note-auton on far side of amp,https://drive.google.com/open?id=1ASc2A7oUJWUuaQZdSJjRtAbDqubZitVB,None,"Pretty reliable auton, reliable trap"
3/8/2024 11:25:21,9114,Swerve,29.5,29.5,115,Horizontal preewheel,Under bumper intake,Climb around 15 seconds no trap,Ground,2,"4 note is a lock, 5 note from midline is inconsistent",https://drive.google.com/open?id=1EuHwFdQ1MZr3b0yQ3REDW5HYP75y3b1v,Between black line and subwoofer,
3/8/2024 11:30:33,9111,Andy mark tank drive,Not know,Not known,120,Horizontal flywheel on 1 dof,Horizontal flywheel,Keep shooting no hang,Ground,1,Moving out,https://drive.google.com/open?id=1vsQI6Vszr_Jrza_XHqSs6-hXlPNQTuRg,Only amp,Only shoot amp; climb is iffy
3/8/2024 11:34:50,9006,Tank drive,26,30,Not known,Horizontal angled roller shooter on 1 dof,Roller intake,Shoot and park,Ground3,3,Shoot preload and move,https://drive.google.com/open?id=1-XsfH0b3WCKDGBQahbUGjx8PGbcF4mDR,On the subwoofer,No hang
3/8/2024 11:39:25,6822,Swerve,29,29,80,Vertical flywheel,Over the bumper intake,Hang at 15-20 seconds,Ground,2,2-4 can configure,https://drive.google.com/open?id=15Qq57bsYUjTmGHl-upWmR8AZ7of1mLsX,Near subwoofer,
3/8/2024 11:45:19,6962,Swerve,28,31,122.5,Horizontal roller on a 1 dof,Under the bumper,Go to hang at 10 seconds no trap,Ground,2,Procedurally generated auto path with consistent max of 4 notes,https://drive.google.com/open?id=1LrbPp8yXz39KJdxa6X3aK-x9YO2ayyXo,Before the stage,
3/8/2024 11:55:10,7130,Swerve,28,28,96,Horizontal shooter on an arm,Roller wheel over the bumper,10 seconds to hang,Ground ,3,Center 3 note: sides 2 notes ,https://drive.google.com/open?id=1vZen_rg5GTY2cFAQ1OSAGCFHhNtYa8Mr,Close to subwoofer,
3/8/2024 14:45:59,1700,Swerve ,25,31,111.5,Flywheel horizontal ,Under bumper horizontal ,"No climb, park",Ground ,1,"3 peice auto, any side ",https://drive.google.com/open?id=1-BZ-YUYX34pUYQv094hORGDs7-2zePGI,Podium too subwoofer ,
3/8/2024 15:20:01,2489,Tank,27,32 14,65,Flywheel,Under bumper ,Park,Ground ,2,2 note ,https://drive.google.com/open?id=1YDnvDA1KhoETF3-10wc2KT6zPX1FqfXn,Subwoofer ,
3/8/2024 15:35:12,846,Swerve ,28,28,93,Horizontal flywheel ,Rollers ,Ye ,Ground ,2,4 note from middle ,https://drive.google.com/open?id=1kaix-noQITt_Fck5Rl7Trr-CxqL5jbv0,Back to Safe zone ,
3/8/2024 15:37:42,852,Swerve ,26,31,100,Vertical flywheel ,Flex wheel under bumper ,No climb yet,Ground ,1,3 notes any start ,https://drive.google.com/open?id=1CmAwcmzDvu99EjJ39wtc6qSIsysNfM47,Speaker ,
