allianceColor,ampsFailedAuton,ampsFailedTeleop,ampsScoredAuton,ampsScoredTeleop,defenseBot,disabledDamagedBot,groundAuton,groundTeleop,harmony,matchNumber,nonFunctionalBot,notes,onstage,scoutName,sourceTeleop,speakersFailedAuton,speakersFailedTeleop,speakersScoredAuton,speakersScoredTeleop,spotlight,teamNumber,trap
"red",2,2,2,3,"Yes","No",5,4,"No","1","No","average team","Yes","Erica",2,0,1,2,1,"Yes","649","No"
"blue",1,1,3,2,"No","Yes",6,6,"Yes","2","No","great team","No","Liam",1,1,0,3,0,"No","649","No"
"red",2,0,1,4,"Yes","No",4,5,"No","3","Yes","poor team","Yes","Olivia",1,1,2,2,1,"Yes","649","No"
"blue",0,1,2,3,"No","No",5,6,"Yes","4","No","good team","No","Ethan",2,0,0,3,0,"No","254",""
"red",1,2,1,2,"Yes","Yes",6,5,"No","5","Yes","average team","Yes","Sophia",1,2,1,2,1,"Yes","254","No"
"blue",2,1,2,3,"No","No",5,4,"Yes","6","No","great team","No","Lucas",2,0,0,3,0,"No","254","No"
"red",1,0,3,4,"Yes","No",4,6,"No","7","No","poor team","Yes","Isabella",1,1,2,2,1,"Yes","7","No"
"blue",0,2,2,2,"No","Yes",6,5,"Yes","8","Yes","good team","No","Noah",2,0,1,3,0,"No","8","No"
"red",2,1,1,3,"Yes","No",5,6,"No","9","No","average team","Yes","Ava",1,2,1,2,1,"Yes","9","No"
"blue",1,0,3,4,"No","No",6,4,"Yes","10","No","great team","No","William",2,0,0,3,0,"No","10","No"
"red",0,2,2,3,"Yes","Yes",4,6,"No","11","Yes","poor team","Yes","Mia",1,1,2,2,1,"Yes","11","No"
"blue",1,1,2,2,"No","No",5,5,"Yes","12","No","good team","No","Benjamin",1,0,1,3,0,"No","12","No"
"red",2,0,1,4,"Yes","No",6,6,"No","13","No","average team","Yes","Emma",2,1,1,2,1,"Yes","13","No"
"blue",1,2,2,2,"No","Yes","7","5","Yes","14","Yes","great team","No","Alexander",2,0,0,3,0,"No","14","No"
"red",0,1,3,3,"Yes","No","4","6","No","15","No","poor team","Yes","Abigail",1,2,2,2,1,"Yes","15","No"
